_c0;mdate;key;author;author1;title;journal;volume;month;year;__len;cdrom;ee;author2;author3;author4;author5;author6;pages;url;publtype;number;author7;author8;author9;cite;ee1;booktitle;reviewid;rating;crossref,,,
75;2011-04-18;journals/crossroads/Chau11;Polo Chau;;Catching bad guys with graph mining.;ACM Crossroads;17;;2011;200619;;http://doi.acm.org/10.1145/1925041.1925044;;;;;;16-18;db/journals/crossroads/crossroads17.html#Chau11;;3;;;;;;;;;,,,
76;2013-07-16;journals/crossroads/DePalmaR13;Nick DePalma;David Robert;Creativity + Computer Science.;ACM Crossroads;19;;2013;200619;;http://doi.acm.org/10.1145/2460436.2460439;;;;;;11;db/journals/crossroads/crossroads19.html#DePalmaR13;;4;;;;;;;;;,,,
77;2014-11-24;journals/crossroads/Zitnik14b;Marinka Zitnik;;Dynamics of news from the ;ACM Crossroads;21;;2014;200619;;http://doi.acm.org/10.1145/2667629;;;;;;64-66;db/journals/crossroads/crossroads21.html#Zitnik14b;;1;;;;;;;;;,,,
78;2006-03-14;journals/crossroads/Tucker00a;Matt Tucker;;Objective Viewpoint: Make Your GUI Swing.;ACM Crossroads;6;;2000;200619;;http://doi.acm.org/10.1145/333424.333428;;;;;;;db/journals/crossroads/crossroads6.html#Tucker00a;;4;;;;;;;;;,,,
79;2013-07-16;journals/crossroads/OBrien13;Michael O'Brien;;Running rivers.;ACM Crossroads;19;;2013;200619;;http://doi.acm.org/10.1145/2460436.2460447;;;;;;30-33;db/journals/crossroads/crossroads19.html#OBrien13;;4;;;;;;;;;,,,
80;2014-05-06;journals/crossroads/Daruki14;Samira Daruki;;Ultra-efficiency via sublinearity.;ACM Crossroads;20;;2014;200619;;http://doi.acm.org/10.1145/2566677;;;;;;14-16;db/journals/crossroads/crossroads20.html#Daruki14;;3;;;;;;;;;,,,
81;2011-01-05;journals/crossroads/AnselC10;Jason Ansel;Cy P. Chan;PetaBricks.;ACM Crossroads;17;;2010;200619;;http://doi.acm.org/10.1145/1836543.1836554;;;;;;32-37;db/journals/crossroads/crossroads17.html#AnselC10;;1;;;;;;;;;,,,
82;2014-05-06;journals/crossroads/X14;;;Tweet tweet!;ACM Crossroads;20;;2014;200619;;http://doi.acm.org/10.1145/2591607;;;;;;7;db/journals/crossroads/crossroads20.html#X14;;3;;;;;;;;;,,,
83;2014-01-24;journals/crossroads/Zuba13b;Michael Zuba;;Maintaining ACM traditions: Professional development done right.;ACM Crossroads;20;;2013;200619;;http://doi.acm.org/10.1145/2544053;;;;;;11;db/journals/crossroads/crossroads20.html#Zuba13b;;2;;;;;;;;;,,,
84;2012-06-04;journals/crossroads/X12a;;;Inbox.;ACM Crossroads;18;;2012;200619;;http://doi.acm.org/10.1145/2173637.2173639;;;;;;4;db/journals/crossroads/crossroads18.html#X12a;;4;;;;;;;;;,,,
85;2012-09-24;journals/crossroads/ChenFMWW12;Yanpei Chen;Andrew Ferguson;Big data and internships at Cloudera.;ACM Crossroads;19;;2012;200619;;http://doi.acm.org/10.1145/2331042.2331054;Brian Martin;Andrew Wang;Patrick Wendell;;;35-37;db/journals/crossroads/crossroads19.html#ChenFMWW12;;1;;;;;;;;;,,,
86;2010-05-18;journals/crossroads/Cocking08a;Cara Cocking;;Finding an optimal tooth color match.;ACM Crossroads;14;;2008;200619;;http://doi.acm.org/10.1145/1373576.1373581;;;;;;22-25;db/journals/crossroads/crossroads14.html#Cocking08a;;3;;;;;;;;;,,,
87;2010-05-18;journals/crossroads/Solomon09b;Justin Solomon;;Introduction.;ACM Crossroads;15;;2009;200619;;http://doi.acm.org/10.1145/1558897.1558898;;;;;;;db/journals/crossroads/crossroads15.html#Solomon09b;;4;;;;;;;;;,,,
88;2013-01-10;journals/crossroads/Merritt12;Samantha Merritt;;Lessons and opportunities in ICT4D: three things I did not know before I started my research.;ACM Crossroads;19;;2012;200619;;http://doi.acm.org/10.1145/2382856.2382872;;;;;;46-49;db/journals/crossroads/crossroads19.html#Merritt12;;2;;;;;;;;;,,,
89;2011-01-05;journals/crossroads/Shamma10;David A. Shamma;;Beyond freebird.;ACM Crossroads;17;;2010;200619;;http://doi.acm.org/10.1145/1869086.1869099;;;;;;36-38;db/journals/crossroads/crossroads17.html#Shamma10;;2;;;;;;;;;,,,
90;2013-04-20;journals/crossroads/Pandey13;Anshul Vikram Pandey;;Keio-NUS CUTE center: Singapore.;ACM Crossroads;19;;2013;200619;;http://doi.acm.org/10.1145/2425676.2425695;;;;;;64-65;db/journals/crossroads/crossroads19.html#Pandey13;;3;;;;;;;;;,,,
