;inproceedings_dblp100;mdate;key;author;author.1;author2;title;pages;year;booktitle;__len;crossref;url;ee;author3;author4;author5;number;author6;author7;author8
940;963.0;2013-06-17;journals/procedia/FlaniganB12;David Flanigan;Peggy Brouse;;System of Systems Requirements Capacity Allocation.;112-117;2012.0;CSER;1613.0;conf/cser/2012;db/journals/procedia/procedia8.html#FlaniganB12;http://dx.doi.org/10.1016/j.procs.2012.01.022;;;;;;;3625
941;964.0;2013-06-17;journals/procedia/RicciRR13;Nicola Ricci;Adam M. Ross;Donna H. Rhodes;A Generalized Options-based Approach to Mitigate Perturbations in a Maritime Security System-of-Systems.;718-727;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#RicciRR13;http://dx.doi.org/10.1016/j.procs.2013.01.075;;;;;;;3626
942;965.0;2013-07-10;journals/procedia/MalkamakiO12;Tuomo Malkamäki;Seppo J. Ovaska;;Solar Energy and Free Cooling Potential in European Data Centers.;1004-1009;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#MalkamakiO12;http://dx.doi.org/10.1016/j.procs.2012.06.138;;;;;;;3625
943;966.0;2013-10-02;journals/procedia/PaniaguaFS12;Carlos Paniagua;Huber Flores;Satish Narayana Srirama;Mobile Sensor Data Classification for Human Activity Recognition using MapReduce on Cloud.;585-592;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#PaniaguaFS12;http://dx.doi.org/10.1016/j.procs.2012.06.075;;;;;;;3625
944;967.0;2013-06-17;journals/procedia/MianDHM13;Zohaib T. Mian;Patrick Dees;Leslie Hall;Development and Implementation of Micro Autonomous Systems and Technologies (MAST) Interactive Reconfigurable Matrix of Alternatives (M-IRMA) for Concept Selection.;708-717;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#MianDHM13;http://dx.doi.org/10.1016/j.procs.2013.01.074;Dimitri Mavris;;;;;;3626
945;968.0;2013-06-05;journals/procedia/SallachNR12;David L. Sallach;Michael J. North;W. A. Rivera;Polar Hermeneutics: A Multi-faceted Decision Mechanism.;1426-1433;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#SallachNR12;http://dx.doi.org/10.1016/j.procs.2012.04.157;;;;;;;3625
946;969.0;2013-06-05;journals/procedia/EnkovaaraRSM11;Jussi Enkovaara;Nichols A. Romero;Sameer Shende;GPAW - massively parallel electronic structure calculations with Python-based software.;17-25;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#EnkovaaraRSM11;http://dx.doi.org/10.1016/j.procs.2011.04.003;Jens J. Mortensen;;;;;;3624
947;970.0;2013-06-05;journals/procedia/LongLWC12;Wen Long;Nan Li;Huiwen Wang;Impact of US financial crisis on Different Countries: Based on the Method of Functional Analysis of Variance.;1292-1298;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#LongLWC12;http://dx.doi.org/10.1016/j.procs.2012.04.141;Siwei Cheng;;;;;;3625
950;973.0;2013-11-28;journals/procedia/OshimaYE11;Makoto Oshima;Koji Yamada;Satoshi Endo;Probability of Potential Model Pruning in Monte-Carlo Go.;237-242;2011.0;Complex Adaptive Systems;1613.0;conf/complexsystems/2011;db/journals/procedia/procedia6.html#OshimaYE11;http://dx.doi.org/10.1016/j.procs.2011.08.044;;;;;;;3624
951;974.0;2013-07-10;journals/procedia/YuGAB11;Kan Yu;Mikael Gidlund;Johan Åkerberg;Reliable and Low Latency Transmission in Industrial Wireless Sensor Networks.;866-873;2011.0;ANT/MobiWIS;1613.0;conf/ant/2011;db/journals/procedia/procedia5.html#YuGAB11;http://dx.doi.org/10.1016/j.procs.2011.07.120;Mats Björkman;;;;;;3624
953;976.0;2013-11-28;journals/procedia/JosephLT11;Anthony Joseph;Maurice Larrain;Claude Turner;Forecasting Purchasing Managers' Index with Compressed Interest Rates and Past Values.;213-218;2011.0;Complex Adaptive Systems;1613.0;conf/complexsystems/2011;db/journals/procedia/procedia6.html#JosephLT11;http://dx.doi.org/10.1016/j.procs.2011.08.040;;;;;;;3624
954;977.0;2013-06-05;journals/procedia/HeHWS12;Mingyan He;Ziping Huang;Cheng Wang;An Efficient Two-grid Method for a Two-phase Mixed-domain Model of Polymer Exchange Membrane Fuel Cell.;689-698;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#HeHWS12;http://dx.doi.org/10.1016/j.procs.2012.04.074;Pengtao Sun;;;;;;3625
955;978.0;2013-06-17;journals/procedia/NottageC12;Dustin Nottage;Steven M. Corns;;Application of model-based systems engineering on a university satellite design team.;207-213;2012.0;CSER;1613.0;conf/cser/2012;db/journals/procedia/procedia8.html#NottageC12;http://dx.doi.org/10.1016/j.procs.2012.01.044;;;;;;;3625
956;979.0;2014-03-28;journals/procedia/FreitasEOKNPRUS12;Sara de Freitas;Jeffrey Earp;Michela Ott;Hot Issues in Game Enhanced Learning: The GEL Viewpoint.;25-31;2012.0;VS-GAMES;1613.0;conf/vsgames/2012;db/journals/procedia/procedia15.html#FreitasEOKNPRUS12;http://dx.doi.org/10.1016/j.procs.2012.10.054;Kristian Kiili;Muriel Ney;Maria Popescu;;Margarida Romero;Mireia Usart;3625
957;980.0;2013-06-17;journals/procedia/OConnellWMS13;Phillip O'Connell;J. Robert Wirthlin;James Malas;Application of Systems Engineering to USAF Small Business Innovative Research (SBIR).;621-630;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#OConnellWMS13;http://dx.doi.org/10.1016/j.procs.2013.01.065;Som Soni;;;;;;3626
958;981.0;2013-07-10;journals/procedia/ZhouDC12;Yun Zhou;Bertrand David;René Chalon;MobilePaperAccess: Ubiquitous Paper-based Interfaces for Mobile Interactions.;282-291;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#ZhouDC12;http://dx.doi.org/10.1016/j.procs.2012.06.038;;;;;;;3625
959;982.0;2014-05-06;journals/procedia/SunSE12;Shuyu Sun;Amgad Salama;Mohamed Fathy El-Amin;An Equation-Type Approach for the Numerical Solution of the Partial Differential Equations Governing Transport Phenomena in Porous Media.;661-669;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#SunSE12;http://dx.doi.org/10.1016/j.procs.2012.04.071;;;;;;;3625
960;983.0;2013-06-20;journals/procedia/TambasciaMKB12;Cláudia de Andrade Tambascia;Ewerton Martins De Menezes;Sonia M. Kutiishi;Usability Evaluation of Electronic Government Services for Interactive TV.;301-310;2012.0;DSAI;1613.0;conf/dsai/2012;db/journals/procedia/procedia14.html#TambasciaMKB12;http://dx.doi.org/10.1016/j.procs.2012.10.034;Raphael C. Barbosa;;;;;;3625
962;985.0;2013-07-10;journals/procedia/FathyFR12;Mahmood Fathy;Saeed Gholamalitabar Firouzjaee;Kaamran Raahemifar;Improving QoS in VANET Using MPLS.;1018-1025;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#FathyFR12;http://dx.doi.org/10.1016/j.procs.2012.06.141;;;;;;;3625
963;986.0;2013-06-05;journals/procedia/AustinJFJLWSIW11;Jim Austin;Tom Jackson;Martyn Fletcher;CARMEN: Code analysis, Repository and Modeling for e-Neuroscience.;768-777;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#AustinJFJLWSIW11;http://dx.doi.org/10.1016/j.procs.2011.04.081;Mark Jessop;Bojian Liang;Mike Weeks;;Leslie Smith;Colin Ingram;3624
964;987.0;2013-11-28;journals/procedia/Kulkarni11;Arun Kulkarni;;;Water Quality Retrieval from Landsat TM Imagery.;475-480;2011.0;Complex Adaptive Systems;1613.0;conf/complexsystems/2011;db/journals/procedia/procedia6.html#Kulkarni11;http://dx.doi.org/10.1016/j.procs.2011.08.088;;;;;;;3624
965;988.0;2013-07-10;journals/procedia/PattersonMMP12;Timothy Patterson;Sally I. McClean;Philip J. Morrow;Modelling Safe Landing Zone Detection Options to Assist in Safety Critical UAV Decision Making.;1146-1151;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#PattersonMMP12;http://dx.doi.org/10.1016/j.procs.2012.06.164;Gerard Parr;;;;;;3625
967;990.0;2013-06-05;journals/procedia/DAzevedoH12;Eduardo F. D'Azevedo;J. C. Hill;;Parallel LU Factorization on GPU Cluster.;67-75;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#DAzevedoH12;http://dx.doi.org/10.1016/j.procs.2012.04.008;;;;;;;3625
968;991.0;2013-07-10;journals/procedia/JalaliG11;Mohammad Jalali;Nasser Ghasem-Aghaee;;A Fuzzy Reputation System in Vehicular Ad hoc Networks.;951-956;2011.0;ANT/MobiWIS;1613.0;conf/ant/2011;db/journals/procedia/procedia5.html#JalaliG11;http://dx.doi.org/10.1016/j.procs.2011.07.134;;;;;;;3624
969;992.0;2013-06-05;journals/procedia/SchneiderFKM11;Max Schneider;Dietmar Fey;Daniel Kapusi;Performance comparison of designated preprocessing white light interferometry algorithms on emerging multi- and many-core architectures.;2037-2046;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#SchneiderFKM11;http://dx.doi.org/10.1016/j.procs.2011.04.222;Torsten Machleidt;;;;;;3624
970;993.0;2013-06-05;journals/procedia/MengYPH12;Xiaofeng Meng;Xiao Yu;Zhigang Peng;Detecting Earthquakes around Salton Sea Following the 2010 Mw7.2 El Mayor-Cucapah Earthquake Using GPU Parallel Computing.;937-946;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#MengYPH12;http://dx.doi.org/10.1016/j.procs.2012.04.100;Bo Hong;;;;;;3625
973;996.0;2013-06-17;journals/procedia/Mayer12;Igor Mayer;;;Towards a Comprehensive Methodology for the Research and Evaluation of Serious Games.;233-247;2012.0;VS-GAMES;1613.0;conf/vsgames/2012;db/journals/procedia/procedia15.html#Mayer12;http://dx.doi.org/10.1016/j.procs.2012.10.075;;;;;;;3625
975;998.0;2013-06-05;journals/procedia/AntonyRYTF11;Joseph Antony;Alistair P. Rendell;Rui Yang;Modelling the Runtime of the Gaussian Computational Chemistry Application and Assessing the Impacts of Microarchitectural Variations.;281-291;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#AntonyRYTF11;http://dx.doi.org/10.1016/j.procs.2011.04.030;Gary Trucks;Michael J. Frisch;;;;;3624
976;999.0;2013-06-05;journals/procedia/AochiD11;Hideo Aochi;Fabrice Dupros;;MPI-OpenMP hybrid simulations using boundary integral equation and finite difference methods for earthquake dynamics and wave propagation: Application to the 2007 Niigata Chuetsu-Oki earthquake (Mw6.6).;1496-1505;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#AochiD11;http://dx.doi.org/10.1016/j.procs.2011.04.162;;;;;;;3624
977;1000.0;2013-06-05;journals/procedia/KajiyamaDC11;Tamito Kajiyama;Davide D'Alimonte;José C. Cunha;Performance prediction of ocean color Monte Carlo simulations using multi-layer perceptron neural networks.;2186-2195;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#KajiyamaDC11;http://dx.doi.org/10.1016/j.procs.2011.04.239;;;;;;;3624
979;1002.0;2013-06-17;journals/procedia/Stig13;Daniel Corin Stig;;;A Proposed Technology Platform Framework to Support Technology Reuse.;918-926;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#Stig13;http://dx.doi.org/10.1016/j.procs.2013.01.096;;;;;;;3626
980;1003.0;2013-07-10;journals/procedia/MahdiASRT12;Khaled Mahdi;Ahmed Almajid;Maytham Safar;Social Network Analysis of Kuwait Publicly-Held Corporations.;272-281;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#MahdiASRT12;http://dx.doi.org/10.1016/j.procs.2012.06.037;Hernan Riquelme;Sadegh Torabi;;;;;3625
981;1004.0;2013-06-05;journals/procedia/MurarasuBPWB12;Alin Florindor Murarasu;Gerrit Buse;Dirk Pflüger;Fastsg: A Fast Routines Library for Sparse Grids.;354-363;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#MurarasuBPWB12;http://dx.doi.org/10.1016/j.procs.2012.04.038;Josef Weidendorfer;Arndt Bode;;;;;3625
983;1006.0;2013-06-05;journals/procedia/HuangWLC12;He Huang;Liqiang Wang;En-Jui Lee;An MPI-CUDA Implementation and Optimization for Parallel Sparse Equations and Least Squares (LSQR).;76-85;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#HuangWLC12;http://dx.doi.org/10.1016/j.procs.2012.04.009;Po Chen;;;;;;3625
984;1007.0;2013-06-05;journals/procedia/SoumagneB11;Jerome Soumagne;John Biddiscombe;;Computational Steering and Parallel Online Monitoring Using RMA through the HDF5 DSM Virtual File Driver.;479-488;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#SoumagneB11;http://dx.doi.org/10.1016/j.procs.2011.04.050;;;;;;;3624
985;1008.0;2013-06-05;journals/procedia/NowakowskiCHKKBMDM11;Piotr Nowakowski;Eryk Ciepiela;Daniel Harezlak;The Collage Authoring Environment.;608-617;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#NowakowskiCHKKBMDM11;http://dx.doi.org/10.1016/j.procs.2011.04.064;Joanna Kocot;Marek Kasztelnik;Tomasz Bartynski;;Jan Meizner;Grzegorz Dyk;3624
986;1009.0;2013-06-17;journals/procedia/Gonzalez13;Fernando G. Gonzalez;;;Real-Time Simulation and Control of Large Scale Distributed Discrete Event Systems.;177-186;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#Gonzalez13;http://dx.doi.org/10.1016/j.procs.2013.01.019;;;;;;;3626
987;1010.0;2013-06-17;journals/procedia/McGowanDBPS13;Anna-Maria Rivas McGowan;Shanna Daly;Wayne Baker;A Socio-Technical Perspective on Interdisciplinary Interactions During the Development of Complex Engineered Systems.;1142-1151;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#McGowanDBPS13;http://dx.doi.org/10.1016/j.procs.2013.01.120;Panos Y. Papalambros;Colleen M. Seifert;;;;;3626
988;1011.0;2013-06-17;journals/procedia/XiP13;Xi Xi;Kim Leng Poh;;Using System Dynamics for Sustainable Water Resources Management in Singapore.;157-166;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#XiP13;http://dx.doi.org/10.1016/j.procs.2013.01.017;;;;;;;3626
989;1012.0;2013-07-10;journals/procedia/FreundLA12;Daniel Freund;Marco Lützenberger;Sahin Albayrak;Costs and Gains of Smart Charging Electric Vehicles to Provide Regulation Services.;846-853;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#FreundLA12;http://dx.doi.org/10.1016/j.procs.2012.06.110;;;;;;;3625
990;1013.0;2013-06-05;journals/procedia/AlfehaidK11;Waleed M. Alfehaid;Asad I. Khan;;Cellular Microscopic Pattern Recogniser - A Distributed Computational Approach for Macroscopic Event Detection in WSN.;66-75;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#AlfehaidK11;http://dx.doi.org/10.1016/j.procs.2011.04.008;;;;;;;3624
991;1014.0;2013-07-10;journals/procedia/PeuhkurinenMT11;Antti Peuhkurinen;Tommi Mikkonen;Mikko Terho;Using RDF Data as Basis for 3D Window Management in Mobile Devices.;645-652;2011.0;ANT/MobiWIS;1613.0;conf/ant/2011;db/journals/procedia/procedia5.html#PeuhkurinenMT11;http://dx.doi.org/10.1016/j.procs.2011.07.084;;;;;;;3624
994;1017.0;2013-06-17;journals/procedia/GoveU13;Ryan Gove;Joe Uzdzinski;;A Performance-Based System Maturity Assessment Framework.;688-697;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#GoveU13;http://dx.doi.org/10.1016/j.procs.2013.01.072;;;;;;;3626
995;1018.0;2013-06-05;journals/procedia/NguyenCBS12;Hung V. Nguyen;Jing-Ru C. Cheng;Charlie R. Berger;AMass Conservation AlgorithmFor Adaptive Unrefinement Meshes Used By Finite Element Methods.;727-736;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#NguyenCBS12;http://dx.doi.org/10.1016/j.procs.2012.04.078;Gaurav Savant;;;;;;3625
996;1019.0;2013-11-28;journals/procedia/CarrilloT12;Victor M. Carrillo;Heidi A. Taboada;;A Post-Pareto Approach for Multi-Objective Decision Making Using a Non-Uniform Weight Generator Method.;116-121;2012.0;Complex Adaptive Systems;1613.0;conf/complexsystems/2012;db/journals/procedia/procedia12.html#CarrilloT12;http://dx.doi.org/10.1016/j.procs.2012.09.040;;;;;;;3625
997;1020.0;2013-06-17;journals/procedia/PetngaA13;Leonard Petnga;Mark Austin;;Ontologies of Time and Time-based Reasoning for MBSE of Cyber-Physical Systems.;403-412;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#PetngaA13;http://dx.doi.org/10.1016/j.procs.2013.01.042;;;;;;;3626
999;1022.0;2013-07-10;journals/procedia/MasoumzadehJ11;Amirreza Masoumzadeh;James Joshi;;An Alternative Approach to k-Anonymity for Location-Based Services.;522-530;2011.0;ANT/MobiWIS;1613.0;conf/ant/2011;db/journals/procedia/procedia5.html#MasoumzadehJ11;http://dx.doi.org/10.1016/j.procs.2011.07.068;;;;;;;3624
1000;1023.0;2013-06-05;journals/procedia/AlamKKMA11;Kh Mahmudul Alam;Joarder Kamruzzaman;Gour C. Karmakar;QoS Support in Event Detection in WSN through Optimal k-Coverage.;499-507;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#AlamKKMA11;http://dx.doi.org/10.1016/j.procs.2011.04.052;Manzur M. Murshed;A. K. M. Azad;;;;;3624
1001;1024.0;2013-11-28;journals/procedia/MargolisLGQ11;Dan Margolis;Walker H. Land Jr.;Ronald Gottlieb;A complex adaptive system using statistical learning theory as an inline preprocess for clinical survival analysis.;279-284;2011.0;Complex Adaptive Systems;1613.0;conf/complexsystems/2011;db/journals/procedia/procedia6.html#MargolisLGQ11;http://dx.doi.org/10.1016/j.procs.2011.08.052;Xingye Qiao;;;;;;3624
1004;1027.0;2013-07-10;journals/procedia/BlancoCV12;Eduardo Blanco;Yudith Cardinale;Maria-Esther Vidal;A Non-Chronological Backtracking Unfolding Algorithm for Transactional Web Service Composition.;888-893;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#BlancoCV12;http://dx.doi.org/10.1016/j.procs.2012.06.117;;;;;;;3625
1005;1028.0;2013-06-17;journals/procedia/WattanasoontornBBS12;Voravika Wattanasoontorn;Imma Boada;Carles Blavi;The Framework of a Life Support Simulation Application.;293-294;2012.0;VS-GAMES;1613.0;conf/vsgames/2012;db/journals/procedia/procedia15.html#WattanasoontornBBS12;http://dx.doi.org/10.1016/j.procs.2012.10.083;Mateu Sbert;;;;;;3625
1006;1029.0;2013-06-17;journals/procedia/FaezipourF13;Misagh Faezipour;Susan Ferreira;;A System Dynamics Perspective of Patient Satisfaction in Healthcare.;148-156;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#FaezipourF13;http://dx.doi.org/10.1016/j.procs.2013.01.016;;;;;;;3626
1007;1030.0;2013-07-10;journals/procedia/FarrellP12;Alan C. Farrell;Jun Peng;;Performance of IEEE 802.11 MAC in Underwater Wireless Channels.;62-69;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#FarrellP12;http://dx.doi.org/10.1016/j.procs.2012.06.012;;;;;;;3625
1008;1031.0;2013-06-05;journals/procedia/EllerCM12;Paul R. Eller;Jing-Ru C. Cheng;Robert S. Maier;Dynamic Linear Solver Selection for Transient Simulations Using Multi-label Classifiers.;1523-1532;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#EllerCM12;http://dx.doi.org/10.1016/j.procs.2012.04.167;;;;;;;3625
1009;1032.0;2013-06-05;journals/procedia/LucaELA12;Valerio De Luca;Italo Epicoco;Daniele Lezzi;GRB_WAPI, a RESTful Framework for Grid Portals.;459-468;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#LucaELA12;http://dx.doi.org/10.1016/j.procs.2012.04.049;Giovanni Aloisio;;;;;;3625
1010;1033.0;2013-06-05;journals/procedia/Castro-PalacioIRY11;Juan Carlos Castro-Palacio;Keisaku Ishii;Jesús Rubayo-Soneira;An ab initio study of Xe-NO(X;1135-1144;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#Castro-PalacioIRY11;http://dx.doi.org/10.1016/j.procs.2011.04.121;Koichi Yamashita;;;;;;3624
1012;1035.0;2013-06-17;journals/procedia/HasegawaINS12;Akira Hasegawa;Hiroyuki Iida;Takeo Nakagawa;Digital-Kakejiku Typhoon Model based on Fluid Mechanics.;310-311;2012.0;VS-GAMES;1613.0;conf/vsgames/2012;db/journals/procedia/procedia15.html#HasegawaINS12;http://dx.doi.org/10.1016/j.procs.2012.10.089;Shogo Sone;;;;;;3625
1013;1036.0;2013-11-28;journals/procedia/TahaI12;Mohammad A. Taha;Laheeb Ibrahim;;Traffic Simulation System based on Fuzzy Logic.;356-360;2012.0;Complex Adaptive Systems;1613.0;conf/complexsystems/2012;db/journals/procedia/procedia12.html#TahaI12;http://dx.doi.org/10.1016/j.procs.2012.09.084;;;;;;;3625
1014;1037.0;2013-07-10;journals/procedia/ParvinHHF12;Sazia Parvin;Farookh Khadeer Hussain;Omar Khadeer Hussain;Trust-based Throughput in Cognitive Radio Networks.;713-720;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#ParvinHHF12;http://dx.doi.org/10.1016/j.procs.2012.06.091;Mohammad Abdullah Al Faruque;;;;;;3625
1016;1039.0;2013-11-28;journals/procedia/OzcelikPC11;Selahattin Ozcelik;H. Prakash;Rajab Challoo;Two-Axis Solar Tracker Analysis and Control for Maximum Power Generation.;457-462;2011.0;Complex Adaptive Systems;1613.0;conf/complexsystems/2011;db/journals/procedia/procedia6.html#OzcelikPC11;http://dx.doi.org/10.1016/j.procs.2011.08.085;;;;;;;3624
1017;1040.0;2013-11-28;journals/procedia/YilmazDM11;Muhittin Yilmaz;Naren Reddy Dhansri;Salman Mujeeba;An Intelligent Control Approach for Oil Drilling Processes.;106-111;2011.0;Complex Adaptive Systems;1613.0;conf/complexsystems/2011;db/journals/procedia/procedia6.html#YilmazDM11;http://dx.doi.org/10.1016/j.procs.2011.08.021;;;;;;;3624
1019;1042.0;2013-06-17;journals/procedia/ShaP13;Zhenghui Sha;Jitesh H. Panchal;;Towards the Design of Complex Evolving Networks with High Robustness and Resilience.;522-531;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#ShaP13;http://dx.doi.org/10.1016/j.procs.2013.01.055;;;;;;;3626
1021;1044.0;2013-07-10;journals/procedia/Hossain12;S. M. Mozammal Hossain;;;Selecting Negotiation Strategies for Meeting Scheduling Using a Model Based Approach.;1217-1220;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#Hossain12;http://dx.doi.org/10.1016/j.procs.2012.06.177;;;;;;;3625
1022;1045.0;2013-07-10;journals/procedia/MhemedAPC12;Rogaia Mhemed;Nauman Aslam;William J. Phillips;An Energy Efficient Fuzzy Logic Cluster Formation Protocol in Wireless Sensor Networks.;255-262;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#MhemedAPC12;http://dx.doi.org/10.1016/j.procs.2012.06.035;Frank Comeau;;;;;;3625
1023;1046.0;2013-06-17;journals/procedia/VardaxoglouB12;Georgios Vardaxoglou;Evangelia Baralou;;Developing a Platform for Serious Gaming: Open Innovation through Closed Innovation.;111-121;2012.0;VS-GAMES;1613.0;conf/vsgames/2012;db/journals/procedia/procedia15.html#VardaxoglouB12;http://dx.doi.org/10.1016/j.procs.2012.10.063;;;;;;;3625
1024;1047.0;2013-06-05;journals/procedia/LiuWXM11;Yin Liu;Baojin Wang;Ke Xu;PACC: A Path Associativity Congestion Control and Throughput Model For Multi-path TCP.;1278-1287;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#LiuWXM11;http://dx.doi.org/10.1016/j.procs.2011.04.138;Zhen Ma;;;;;;3624
1025;1048.0;2013-06-20;journals/procedia/GuenagaMRE12;Mari Luz Guenaga;Iratxe Mechaca;Susana Romero;A Tool to Evaluate the Level of Inclusion of Digital Learning Objects.;148-154;2012.0;DSAI;1613.0;conf/dsai/2012;db/journals/procedia/procedia14.html#GuenagaMRE12;http://dx.doi.org/10.1016/j.procs.2012.10.017;Andoni Eguíluz;;;;;;3625
1026;1049.0;2013-06-17;journals/procedia/SarfarazSB12;Matin Sarfaraz;Brian J. Sauser;Edward W. Bauer;Using System Architecture Maturity Artifacts to Improve Technology Maturity Assessment.;165-170;2012.0;CSER;1613.0;conf/cser/2012;db/journals/procedia/procedia8.html#SarfarazSB12;http://dx.doi.org/10.1016/j.procs.2012.01.034;;;;;;;3625
1028;1051.0;2013-06-17;journals/procedia/Micouin13;Patrice Micouin;;;Model Based Systems Engineering using VHDL-AMS.;128-137;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#Micouin13;http://dx.doi.org/10.1016/j.procs.2013.01.014;;;;;;;3626
1030;1053.0;2013-11-28;journals/procedia/MercerR12;Andrew E. Mercer;Michael B. Richman;;Assessing Atmospheric Variability using Kernel Principal Component Analysis.;288-293;2012.0;Complex Adaptive Systems;1613.0;conf/complexsystems/2012;db/journals/procedia/procedia12.html#MercerR12;http://dx.doi.org/10.1016/j.procs.2012.09.071;;;;;;;3625
1033;1056.0;2013-07-10;journals/procedia/MiyagiMK12;Yui Miyagi;Hayao Miyagi;Ichiko Kinjo;Preference Order of Categorized Group Opinions Considering Grade of Decision Makers.;38-45;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#MiyagiMK12;http://dx.doi.org/10.1016/j.procs.2012.06.009;;;;;;;3625
1034;1057.0;2013-06-05;journals/procedia/PoaterRGPPCC11;Albert Poater;Francesco Ragone;Manel Garrido;Deactivation of Ru-benzylidene Grubbs catalysts active in olefin metathesis.;1222-1229;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#PoaterRGPPCC11;http://dx.doi.org/10.1016/j.procs.2011.04.131;Sònia Pérez;Manel Poch;Andrea Correa;;Luigi Cavallo;;3624
1035;1058.0;2013-06-05;journals/procedia/ChenS11;Jie Chen 0007;Ilya Safro;;A measure of the local connectivity between graph vertices.;196-205;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#ChenS11;http://dx.doi.org/10.1016/j.procs.2011.04.021;;;;;;;3624
1036;1059.0;2013-06-17;journals/procedia/HenryPOHEA13;Devanandham Henry;Arthur B. Pyster;David H. Olwell;Experiences From Creating the Guide to the Systems Engineering Body of Knowledge (SEBoK) v. 1.0.;990-999;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#HenryPOHEA13;http://dx.doi.org/10.1016/j.procs.2013.01.104;Nicole Hutchison;Stephanie Enck;James F. Anthony Jr.;;;;3626
